userid,questionid,filename,colorscale,frequency,tasktype,responseId,response,fresponse,correct,expcondition,trial,result,responseTime,confidence,sequenceid
988,135,f4_blueyellow_2,blueyellow,9,clickbox,44219,B,NULL,B,3,3,1,5872,0,18
988,142,f4_bodyheat_0,bodyheat,9,clickbox,44281,B,NULL,B,3,4,1,6340,0,18
988,143,f4_coolwarm_0,coolwarm,9,clickbox,44325,A,NULL,A,3,4,1,2300,0,18
988,144,f4_blueyellow_0,blueyellow,9,clickbox,44222,B,NULL,B,3,4,1,5858,0,18
988,151,f5_bodyheat_1,bodyheat,11,clickbox,44289,B,NULL,B,3,1,1,3381,0,18
988,152,f5_coolwarm_1,coolwarm,11,clickbox,44331,A,NULL,A,3,1,1,2840,0,18
988,153,f5_blueyellow_1,blueyellow,11,clickbox,44240,B,NULL,B,3,1,1,3661,0,18
988,160,f5_bodyheat_2,bodyheat,11,clickbox,44287,B,NULL,B,3,2,1,5191,0,18
988,161,f5_coolwarm_2,coolwarm,11,clickbox,44328,A,NULL,A,3,2,1,4329,0,18
988,162,f5_blueyellow_2,blueyellow,11,clickbox,44233,B,NULL,B,3,2,1,2992,0,18
988,169,f5_bodyheat_0,bodyheat,11,clickbox,44295,B,NULL,B,3,3,1,10640,0,18
988,170,f5_coolwarm_0,coolwarm,11,clickbox,44329,B,NULL,A,3,3,0,3057,0,18
988,171,f5_blueyellow_0,blueyellow,11,clickbox,44238,B,NULL,B,3,3,1,4740,0,18
988,178,f5_bodyheat_1,bodyheat,11,clickbox,44291,A,NULL,A,3,4,1,2984,0,18
988,179,f5_coolwarm_1,coolwarm,11,clickbox,44330,B,NULL,B,3,4,1,3313,0,18
988,180,f5_blueyellow_1,blueyellow,11,clickbox,44235,A,NULL,A,3,4,1,4136,0,18
990,4,f1_singlehue_0,singlehue,3,clickbox,43634,B,NULL,B,2,1,1,3094,0,12
990,5,f1_extbodyheat_0,extbodyheat,3,clickbox,43668,A,NULL,A,2,1,1,5883,0,12
990,6,f1_spectral_0,spectral,3,clickbox,43611,A,NULL,B,2,1,0,7384,0,12
990,13,f1_singlehue_1,singlehue,3,clickbox,43631,B,NULL,B,2,2,1,2767,0,12
990,14,f1_extbodyheat_1,extbodyheat,3,clickbox,43671,B,NULL,A,2,2,0,7314,0,12
990,15,f1_spectral_1,spectral,3,clickbox,43612,B,NULL,B,2,2,1,2719,0,12
990,22,f1_singlehue_2,singlehue,3,clickbox,43635,A,NULL,A,2,3,1,3155,0,12
990,23,f1_extbodyheat_2,extbodyheat,3,clickbox,43678,B,NULL,B,2,3,1,3067,0,12
990,24,f1_spectral_2,spectral,3,clickbox,43613,B,NULL,A,2,3,0,3000,0,12
990,31,f1_singlehue_0,singlehue,3,clickbox,43630,B,NULL,B,2,4,1,2597,0,12
990,32,f1_extbodyheat_0,extbodyheat,3,clickbox,43675,B,NULL,A,2,4,0,5764,0,12
990,33,f1_spectral_0,spectral,3,clickbox,43610,B,NULL,B,2,4,1,15059,0,12
990,40,f2_singlehue_1,singlehue,5,clickbox,43641,B,NULL,A,2,1,0,2617,0,12
990,41,f2_extbodyheat_1,extbodyheat,5,clickbox,43683,A,NULL,B,2,1,0,2032,0,12
990,42,f2_spectral_1,spectral,5,clickbox,43616,B,NULL,A,2,1,0,2765,0,12
990,49,f2_singlehue_2,singlehue,5,clickbox,43639,A,NULL,A,2,2,1,3892,0,12
990,50,f2_extbodyheat_2,extbodyheat,5,clickbox,43696,B,NULL,B,2,2,1,2554,0,12
990,51,f2_spectral_2,spectral,5,clickbox,43614,A,NULL,A,2,2,1,9225,0,12
990,58,f2_singlehue_0,singlehue,5,clickbox,43637,A,NULL,B,2,3,0,2392,0,12
990,59,f2_extbodyheat_0,extbodyheat,5,clickbox,43694,A,NULL,A,2,3,1,17676,0,12
990,60,f2_spectral_0,spectral,5,clickbox,43617,B,NULL,B,2,3,1,4185,0,12
990,67,f2_singlehue_1,singlehue,5,clickbox,43638,B,NULL,B,2,4,1,2570,0,12
990,68,f2_extbodyheat_1,extbodyheat,5,clickbox,43702,B,NULL,A,2,4,0,4859,0,12
990,69,f2_spectral_1,spectral,5,clickbox,43615,B,NULL,B,2,4,1,2408,0,12
990,76,f3_singlehue_2,singlehue,7,clickbox,43649,A,NULL,B,2,1,0,2148,0,12
990,77,f3_extbodyheat_2,extbodyheat,7,clickbox,43714,B,NULL,A,2,1,0,2554,0,12
990,78,f3_spectral_2,spectral,7,clickbox,43621,A,NULL,B,2,1,0,7045,0,12
990,85,f3_singlehue_0,singlehue,7,clickbox,43647,B,NULL,B,2,2,1,2817,0,12
990,86,f3_extbodyheat_0,extbodyheat,7,clickbox,43711,A,NULL,A,2,2,1,2560,0,12
990,87,f3_spectral_0,spectral,7,clickbox,43618,B,NULL,B,2,2,1,1899,0,12
990,94,f3_singlehue_1,singlehue,7,clickbox,43645,A,NULL,B,2,3,0,2231,0,12
990,95,f3_extbodyheat_1,extbodyheat,7,clickbox,43706,A,NULL,A,2,3,1,7743,0,12
990,96,f3_spectral_1,spectral,7,clickbox,43619,A,NULL,B,2,3,0,5122,0,12
990,103,f3_singlehue_2,singlehue,7,clickbox,43643,A,NULL,A,2,4,1,2550,0,12
990,104,f3_extbodyheat_2,extbodyheat,7,clickbox,43709,B,NULL,B,2,4,1,3561,0,12
990,105,f3_spectral_2,spectral,7,clickbox,43620,A,NULL,A,2,4,1,2482,0,12
990,112,f4_singlehue_0,singlehue,9,clickbox,43656,B,NULL,B,2,1,1,4231,0,12
990,113,f4_extbodyheat_0,extbodyheat,9,clickbox,43722,A,NULL,A,2,1,1,2532,0,12
990,114,f4_spectral_0,spectral,9,clickbox,43624,B,NULL,B,2,1,1,2148,0,12
990,121,f4_singlehue_1,singlehue,9,clickbox,43659,A,NULL,A,2,2,1,2542,0,12
990,122,f4_extbodyheat_1,extbodyheat,9,clickbox,43726,B,NULL,B,2,2,1,1832,0,12
990,123,f4_spectral_1,spectral,9,clickbox,43623,A,NULL,A,2,2,1,2373,0,12
990,130,f4_singlehue_2,singlehue,9,clickbox,43651,B,NULL,B,2,3,1,2175,0,12
990,131,f4_extbodyheat_2,extbodyheat,9,clickbox,43716,B,NULL,A,2,3,0,3574,0,12
990,132,f4_spectral_2,spectral,9,clickbox,43622,B,NULL,B,2,3,1,13126,0,12
990,139,f4_singlehue_0,singlehue,9,clickbox,43653,B,NULL,B,2,4,1,2757,0,12
990,140,f4_extbodyheat_0,extbodyheat,9,clickbox,43719,A,NULL,A,2,4,1,2753,0,12
990,141,f4_spectral_0,spectral,9,clickbox,43625,B,NULL,B,2,4,1,2077,0,12
990,148,f5_singlehue_1,singlehue,11,clickbox,43660,A,NULL,B,2,1,0,2346,0,12
990,149,f5_extbodyheat_1,extbodyheat,11,clickbox,43737,A,NULL,A,2,1,1,10913,0,12
990,150,f5_spectral_1,spectral,11,clickbox,43626,B,NULL,B,2,1,1,27861,0,12
990,157,f5_singlehue_2,singlehue,11,clickbox,43661,B,NULL,B,2,2,1,2892,0,12
990,158,f5_extbodyheat_2,extbodyheat,11,clickbox,43732,A,NULL,A,2,2,1,2271,0,12
990,159,f5_spectral_2,spectral,11,clickbox,43629,B,NULL,B,2,2,1,5780,0,12
990,166,f5_singlehue_0,singlehue,11,clickbox,43664,B,NULL,B,2,3,1,2557,0,12
990,167,f5_extbodyheat_0,extbodyheat,11,clickbox,43742,B,NULL,A,2,3,0,3781,0,12
990,168,f5_spectral_0,spectral,11,clickbox,43627,A,NULL,B,2,3,0,6737,0,12
990,175,f5_singlehue_1,singlehue,11,clickbox,43663,A,NULL,A,2,4,1,2160,0,12
990,176,f5_extbodyheat_1,extbodyheat,11,clickbox,43728,B,NULL,B,2,4,1,1933,0,12
990,177,f5_spectral_1,spectral,11,clickbox,43628,A,NULL,A,2,4,1,3684,0,12
992,7,f1_bodyheat_0,bodyheat,3,clickbox,43717,A,NULL,B,3,1,0,4266,0,13
992,8,f1_coolwarm_0,coolwarm,3,clickbox,43819,B,NULL,A,3,1,0,2261,0,13
992,9,f1_blueyellow_0,blueyellow,3,clickbox,43905,A,NULL,B,3,1,0,3066,0,13
992,16,f1_bodyheat_1,bodyheat,3,clickbox,43713,B,NULL,B,3,2,1,4179,0,13
992,17,f1_coolwarm_1,coolwarm,3,clickbox,43814,A,NULL,A,3,2,1,6055,0,13
992,18,f1_blueyellow_1,blueyellow,3,clickbox,43919,B,NULL,B,3,2,1,4265,0,13
992,25,f1_bodyheat_2,bodyheat,3,clickbox,43727,B,NULL,A,3,3,0,2195,0,13
992,26,f1_coolwarm_2,coolwarm,3,clickbox,43828,A,NULL,B,3,3,0,2466,0,13
992,27,f1_blueyellow_2,blueyellow,3,clickbox,43916,B,NULL,A,3,3,0,2306,0,13
992,34,f1_bodyheat_0,bodyheat,3,clickbox,43723,B,NULL,B,3,4,1,2054,0,13
992,35,f1_coolwarm_0,coolwarm,3,clickbox,43825,A,NULL,A,3,4,1,2993,0,13
992,36,f1_blueyellow_0,blueyellow,3,clickbox,43910,B,NULL,B,3,4,1,2814,0,13
992,43,f2_bodyheat_1,bodyheat,5,clickbox,43747,B,NULL,A,3,1,0,2081,0,13
992,44,f2_coolwarm_1,coolwarm,5,clickbox,43837,A,NULL,B,3,1,0,1741,0,13
992,45,f2_blueyellow_1,blueyellow,5,clickbox,43942,B,NULL,A,3,1,0,6710,0,13
992,52,f2_bodyheat_2,bodyheat,5,clickbox,43739,B,NULL,A,3,2,0,8852,0,13
992,53,f2_coolwarm_2,coolwarm,5,clickbox,43834,B,NULL,B,3,2,1,3993,0,13
992,54,f2_blueyellow_2,blueyellow,5,clickbox,43928,B,NULL,A,3,2,0,5079,0,13
992,61,f2_bodyheat_0,bodyheat,5,clickbox,43744,B,NULL,B,3,3,1,3482,0,13
992,62,f2_coolwarm_0,coolwarm,5,clickbox,43841,A,NULL,A,3,3,1,2353,0,13
992,63,f2_blueyellow_0,blueyellow,5,clickbox,43922,B,NULL,B,3,3,1,2143,0,13
992,70,f2_bodyheat_1,bodyheat,5,clickbox,43733,A,NULL,B,3,4,0,5809,0,13
992,71,f2_coolwarm_1,coolwarm,5,clickbox,43844,A,NULL,A,3,4,1,2175,0,13
992,72,f2_blueyellow_1,blueyellow,5,clickbox,43937,A,NULL,B,3,4,0,7899,0,13
992,79,f3_bodyheat_2,bodyheat,7,clickbox,43766,A,NULL,B,3,1,0,15603,0,13
992,80,f3_coolwarm_2,coolwarm,7,clickbox,43857,B,NULL,A,3,1,0,2473,0,13
992,81,f3_blueyellow_2,blueyellow,7,clickbox,43951,A,NULL,B,3,1,0,2612,0,13
992,88,f3_bodyheat_0,bodyheat,7,clickbox,43756,B,NULL,B,3,2,1,2025,0,13
992,89,f3_coolwarm_0,coolwarm,7,clickbox,43847,A,NULL,A,3,2,1,1737,0,13
992,90,f3_blueyellow_0,blueyellow,7,clickbox,43958,B,NULL,B,3,2,1,2299,0,13
992,97,f3_bodyheat_1,bodyheat,7,clickbox,43749,B,NULL,B,3,3,1,2766,0,13
992,98,f3_coolwarm_1,coolwarm,7,clickbox,43854,A,NULL,A,3,3,1,7602,0,13
992,99,f3_blueyellow_1,blueyellow,7,clickbox,43954,B,NULL,B,3,3,1,2230,0,13
992,106,f3_bodyheat_2,bodyheat,7,clickbox,43752,A,NULL,A,3,4,1,2300,0,13
992,107,f3_coolwarm_2,coolwarm,7,clickbox,43860,B,NULL,B,3,4,1,2032,0,13
992,108,f3_blueyellow_2,blueyellow,7,clickbox,43945,A,NULL,A,3,4,1,2709,0,13
992,115,f4_bodyheat_0,bodyheat,9,clickbox,43788,B,NULL,B,3,1,1,3405,0,13
992,116,f4_coolwarm_0,coolwarm,9,clickbox,43869,A,NULL,A,3,1,1,7787,0,13
992,117,f4_blueyellow_0,blueyellow,9,clickbox,43972,B,NULL,B,3,1,1,2563,0,13
992,124,f4_bodyheat_1,bodyheat,9,clickbox,43780,A,NULL,A,3,2,1,2855,0,13
992,125,f4_coolwarm_1,coolwarm,9,clickbox,43874,B,NULL,B,3,2,1,2422,0,13
992,126,f4_blueyellow_1,blueyellow,9,clickbox,43966,A,NULL,A,3,2,1,4616,0,13
992,133,f4_bodyheat_2,bodyheat,9,clickbox,43770,B,NULL,B,3,3,1,2434,0,13
992,134,f4_coolwarm_2,coolwarm,9,clickbox,43878,A,NULL,A,3,3,1,2904,0,13
992,135,f4_blueyellow_2,blueyellow,9,clickbox,43969,B,NULL,B,3,3,1,2296,0,13
992,142,f4_bodyheat_0,bodyheat,9,clickbox,43791,B,NULL,B,3,4,1,3166,0,13
992,143,f4_coolwarm_0,coolwarm,9,clickbox,43883,A,NULL,A,3,4,1,3577,0,13
992,144,f4_blueyellow_0,blueyellow,9,clickbox,43961,B,NULL,B,3,4,1,2327,0,13
992,151,f5_bodyheat_1,bodyheat,11,clickbox,43795,B,NULL,B,3,1,1,2154,0,13
992,152,f5_coolwarm_1,coolwarm,11,clickbox,43901,A,NULL,A,3,1,1,2929,0,13
992,153,f5_blueyellow_1,blueyellow,11,clickbox,43982,B,NULL,B,3,1,1,4370,0,13
992,160,f5_bodyheat_2,bodyheat,11,clickbox,43809,B,NULL,B,3,2,1,2191,0,13
992,161,f5_coolwarm_2,coolwarm,11,clickbox,43888,A,NULL,A,3,2,1,2628,0,13
992,162,f5_blueyellow_2,blueyellow,11,clickbox,43977,B,NULL,B,3,2,1,2317,0,13
992,169,f5_bodyheat_0,bodyheat,11,clickbox,43805,B,NULL,B,3,3,1,2231,0,13
992,170,f5_coolwarm_0,coolwarm,11,clickbox,43894,A,NULL,A,3,3,1,2125,0,13
992,171,f5_blueyellow_0,blueyellow,11,clickbox,43976,B,NULL,B,3,3,1,2312,0,13
992,178,f5_bodyheat_1,bodyheat,11,clickbox,43799,A,NULL,A,3,4,1,3025,0,13
992,179,f5_coolwarm_1,coolwarm,11,clickbox,43892,B,NULL,B,3,4,1,1926,0,13
992,180,f5_blueyellow_1,blueyellow,11,clickbox,44153,A,NULL,A,3,4,1,2617,0,13
994,7,f1_bodyheat_0,bodyheat,3,clickbox,43751,A,NULL,B,3,1,0,4354,0,15
994,8,f1_coolwarm_0,coolwarm,3,clickbox,43687,B,NULL,A,3,1,0,2896,0,15
994,9,f1_blueyellow_0,blueyellow,3,clickbox,43632,A,NULL,B,3,1,0,4418,0,15
994,16,f1_bodyheat_1,bodyheat,3,clickbox,43755,B,NULL,B,3,2,1,2396,0,15
994,17,f1_coolwarm_1,coolwarm,3,clickbox,43681,A,NULL,A,3,2,1,3252,0,15
994,18,f1_blueyellow_1,blueyellow,3,clickbox,43636,B,NULL,B,3,2,1,4415,0,15
994,25,f1_bodyheat_2,bodyheat,3,clickbox,43748,B,NULL,A,3,3,0,3393,0,15
994,26,f1_coolwarm_2,coolwarm,3,clickbox,43685,A,NULL,B,3,3,0,2367,0,15
994,27,f1_blueyellow_2,blueyellow,3,clickbox,43633,B,NULL,A,3,3,0,2553,0,15
994,34,f1_bodyheat_0,bodyheat,3,clickbox,43745,B,NULL,B,3,4,1,6688,0,15
994,35,f1_coolwarm_0,coolwarm,3,clickbox,43682,A,NULL,A,3,4,1,2152,0,15
994,36,f1_blueyellow_0,blueyellow,3,clickbox,43640,B,NULL,B,3,4,1,2056,0,15
994,43,f2_bodyheat_1,bodyheat,5,clickbox,43757,B,NULL,A,3,1,0,2008,0,15
994,44,f2_coolwarm_1,coolwarm,5,clickbox,43692,A,NULL,B,3,1,0,1731,0,15
994,45,f2_blueyellow_1,blueyellow,5,clickbox,43642,B,NULL,A,3,1,0,1982,0,15
994,52,f2_bodyheat_2,bodyheat,5,clickbox,43762,A,NULL,A,3,2,1,3186,0,15
994,53,f2_coolwarm_2,coolwarm,5,clickbox,43695,B,NULL,B,3,2,1,4218,0,15
994,54,f2_blueyellow_2,blueyellow,5,clickbox,43650,A,NULL,A,3,2,1,9053,0,15
994,61,f2_bodyheat_0,bodyheat,5,clickbox,43758,B,NULL,B,3,3,1,2062,0,15
994,62,f2_coolwarm_0,coolwarm,5,clickbox,43698,A,NULL,A,3,3,1,2750,0,15
994,63,f2_blueyellow_0,blueyellow,5,clickbox,43646,B,NULL,B,3,3,1,2244,0,15
994,70,f2_bodyheat_1,bodyheat,5,clickbox,43764,B,NULL,B,3,4,1,3128,0,15
994,71,f2_coolwarm_1,coolwarm,5,clickbox,43689,A,NULL,A,3,4,1,2384,0,15
994,72,f2_blueyellow_1,blueyellow,5,clickbox,43644,B,NULL,B,3,4,1,2588,0,15
994,79,f3_bodyheat_2,bodyheat,7,clickbox,43777,B,NULL,B,3,1,1,3447,0,15
994,80,f3_coolwarm_2,coolwarm,7,clickbox,43703,A,NULL,A,3,1,1,2699,0,15
994,81,f3_blueyellow_2,blueyellow,7,clickbox,43652,B,NULL,B,3,1,1,2901,0,15
994,88,f3_bodyheat_0,bodyheat,7,clickbox,43768,B,NULL,B,3,2,1,2206,0,15
994,89,f3_coolwarm_0,coolwarm,7,clickbox,43705,A,NULL,A,3,2,1,2213,0,15
994,90,f3_blueyellow_0,blueyellow,7,clickbox,43658,B,NULL,B,3,2,1,2411,0,15
994,97,f3_bodyheat_1,bodyheat,7,clickbox,43773,A,NULL,B,3,3,0,2580,0,15
994,98,f3_coolwarm_1,coolwarm,7,clickbox,43707,B,NULL,A,3,3,0,3172,0,15
994,99,f3_blueyellow_1,blueyellow,7,clickbox,43654,A,NULL,B,3,3,0,3228,0,15
994,106,f3_bodyheat_2,bodyheat,7,clickbox,43776,A,NULL,A,3,4,1,2589,0,15
994,107,f3_coolwarm_2,coolwarm,7,clickbox,43700,B,NULL,B,3,4,1,2032,0,15
994,108,f3_blueyellow_2,blueyellow,7,clickbox,43657,A,NULL,A,3,4,1,2424,0,15
994,115,f4_bodyheat_0,bodyheat,9,clickbox,43796,B,NULL,B,3,1,1,1971,0,15
994,116,f4_coolwarm_0,coolwarm,9,clickbox,43725,A,NULL,A,3,1,1,2237,0,15
994,117,f4_blueyellow_0,blueyellow,9,clickbox,43670,B,NULL,B,3,1,1,2772,0,15
994,124,f4_bodyheat_1,bodyheat,9,clickbox,43794,B,NULL,A,3,2,0,10305,0,15
994,125,f4_coolwarm_1,coolwarm,9,clickbox,43721,A,NULL,B,3,2,0,2728,0,15
994,126,f4_blueyellow_1,blueyellow,9,clickbox,43662,B,NULL,A,3,2,0,9441,0,15
994,133,f4_bodyheat_2,bodyheat,9,clickbox,43808,B,NULL,B,3,3,1,3178,0,15
994,134,f4_coolwarm_2,coolwarm,9,clickbox,43718,A,NULL,A,3,3,1,3686,0,15
994,135,f4_blueyellow_2,blueyellow,9,clickbox,43665,B,NULL,B,3,3,1,4480,0,15
994,142,f4_bodyheat_0,bodyheat,9,clickbox,43804,B,NULL,B,3,4,1,6984,0,15
994,143,f4_coolwarm_0,coolwarm,9,clickbox,43715,A,NULL,A,3,4,1,13694,0,15
994,144,f4_blueyellow_0,blueyellow,9,clickbox,43667,B,NULL,B,3,4,1,3174,0,15
994,151,f5_bodyheat_1,bodyheat,11,clickbox,43827,B,NULL,B,3,1,1,3462,0,15
994,152,f5_coolwarm_1,coolwarm,11,clickbox,43729,A,NULL,A,3,1,1,3317,0,15
994,153,f5_blueyellow_1,blueyellow,11,clickbox,43673,B,NULL,B,3,1,1,6671,0,15
994,160,f5_bodyheat_2,bodyheat,11,clickbox,43836,B,NULL,B,3,2,1,3575,0,15
994,161,f5_coolwarm_2,coolwarm,11,clickbox,43734,A,NULL,A,3,2,1,4205,0,15
994,162,f5_blueyellow_2,blueyellow,11,clickbox,43679,B,NULL,B,3,2,1,3586,0,15
994,169,f5_bodyheat_0,bodyheat,11,clickbox,43817,B,NULL,B,3,3,1,2595,0,15
994,170,f5_coolwarm_0,coolwarm,11,clickbox,43736,A,NULL,A,3,3,1,5660,0,15
994,171,f5_blueyellow_0,blueyellow,11,clickbox,43674,B,NULL,B,3,3,1,3365,0,15
994,178,f5_bodyheat_1,bodyheat,11,clickbox,43831,A,NULL,A,3,4,1,2683,0,15
994,179,f5_coolwarm_1,coolwarm,11,clickbox,43738,B,NULL,B,3,4,1,2937,0,15
994,180,f5_blueyellow_1,blueyellow,11,clickbox,43677,A,NULL,A,3,4,1,2920,0,15
995,7,f1_bodyheat_0,bodyheat,3,clickbox,43818,A,NULL,B,3,1,0,4530,0,14
995,8,f1_coolwarm_0,coolwarm,3,clickbox,43672,B,NULL,A,3,1,0,4188,0,14
995,9,f1_blueyellow_0,blueyellow,3,clickbox,43974,B,NULL,B,3,1,1,4453,0,14
995,16,f1_bodyheat_1,bodyheat,3,clickbox,43801,B,NULL,B,3,2,1,3329,0,14
995,17,f1_coolwarm_1,coolwarm,3,clickbox,43669,A,NULL,A,3,2,1,4641,0,14
995,18,f1_blueyellow_1,blueyellow,3,clickbox,43981,B,NULL,B,3,2,1,2969,0,14
995,25,f1_bodyheat_2,bodyheat,3,clickbox,43823,B,NULL,A,3,3,0,2906,0,14
995,26,f1_coolwarm_2,coolwarm,3,clickbox,43666,A,NULL,B,3,3,0,4639,0,14
995,27,f1_blueyellow_2,blueyellow,3,clickbox,43965,B,NULL,A,3,3,0,3204,0,14
995,34,f1_bodyheat_0,bodyheat,3,clickbox,43790,B,NULL,B,3,4,1,3188,0,14
995,35,f1_coolwarm_0,coolwarm,3,clickbox,43676,A,NULL,A,3,4,1,3360,0,14
995,36,f1_blueyellow_0,blueyellow,3,clickbox,43956,B,NULL,B,3,4,1,3081,0,14
995,43,f2_bodyheat_1,bodyheat,5,clickbox,43835,B,NULL,A,3,1,0,3484,0,14
995,44,f2_coolwarm_1,coolwarm,5,clickbox,43690,A,NULL,B,3,1,0,2703,0,14
995,45,f2_blueyellow_1,blueyellow,5,clickbox,44007,B,NULL,A,3,1,0,2953,0,14
995,52,f2_bodyheat_2,bodyheat,5,clickbox,43845,A,NULL,A,3,2,1,3079,0,14
995,53,f2_coolwarm_2,coolwarm,5,clickbox,43684,B,NULL,B,3,2,1,4656,0,14
995,54,f2_blueyellow_2,blueyellow,5,clickbox,43998,A,NULL,A,3,2,1,3016,0,14
995,61,f2_bodyheat_0,bodyheat,5,clickbox,43829,B,NULL,B,3,3,1,2687,0,14
995,62,f2_coolwarm_0,coolwarm,5,clickbox,43680,A,NULL,A,3,3,1,4734,0,14
995,63,f2_blueyellow_0,blueyellow,5,clickbox,43987,B,NULL,B,3,3,1,2718,0,14
995,70,f2_bodyheat_1,bodyheat,5,clickbox,43839,B,NULL,B,3,4,1,3781,0,14
995,71,f2_coolwarm_1,coolwarm,5,clickbox,43686,A,NULL,A,3,4,1,2750,0,14
995,72,f2_blueyellow_1,blueyellow,5,clickbox,43992,B,NULL,B,3,4,1,2782,0,14
995,79,f3_bodyheat_2,bodyheat,7,clickbox,43852,A,NULL,B,3,1,0,2406,0,14
995,80,f3_coolwarm_2,coolwarm,7,clickbox,43710,B,NULL,A,3,1,0,3500,0,14
995,81,f3_blueyellow_2,blueyellow,7,clickbox,44023,A,NULL,B,3,1,0,2921,0,14
995,88,f3_bodyheat_0,bodyheat,7,clickbox,43849,B,NULL,B,3,2,1,2640,0,14
