No,Submit Time,Name,Age,Major,"How did you complete Test Task 1? Please describe your thought process step-by-step (1, 2, 3...).","How did you complete Test Task 2? Please describe your thought process step-by-step (1, 2, 3...).",,,,,,,,,,,
12,2025/3/8 17:06:45,P11,19,Computer Science,"1. Find extreme points 0 and 1.0; 2. Other points: find distinct colors like orange and yellow in the color image; in grayscale, locate similar brightness regions near edges.","In most cases, the two squares have obvious differences (similar upper limits but different lower limits: one blue, one purple; or vice versa). For extreme colors (purple-red), the difference is not very noticeable (I basically can't tell).",,,,,,,,,,,
13,2025/3/8 17:06:55,P12,20,Biology Science,"First observe the color order, realize it goes from light to dark; then based on the legend identify corresponding areas; locate the lightest white area, then sequentially find matching colors until the darkest.",Find several color changes according to the color scale; compare the general color distribution between the black and white squares; match these colors to intervals on the right; subtract the interval values and compare—larger differences indicate steeper color changes.,,,,,,,,,,,
14,2025/3/8 17:08:55,P13,18,Computer Science,1. Find the brightest spot; 2. Find darker areas near the brightest spot; 3. Find a third point with tone clearly different from the first and last; 4. Locate transitional colors; 5. Find the darkest point.,"Prioritize based on tone change; when the color gradients seem similar, the square with more dark areas usually has a steeper gradient; if the proportion of dark areas is similar, the square with dark areas closer to the center has a steeper gradient.",,,,,,,,,,,
15,2025/3/8 17:08:59,P14,18,Computer Science,"1. Find the highest value point in areas with clear color gradients; 2. Find points near boundaries at 750, 500, 250; 3. Find the lowest value point.","Divide the square into sections based on color, identifying the areas corresponding to the maximum and minimum values on the scale; compare these maximum and minimum regions to determine which square has a larger color difference.",,,,,,,,,,,
16,2025/3/8 17:12:22,P15,18,Computer Science,"Two steps: 1. Match numeric values with colors on the right legend; 2. Find matching colors on the left scalar field, continuously comparing selected points to standard legend.","First observe which square has more color types—the one with more colors generally has a steeper gradient. If both squares have roughly the same variety, connect the highest and lowest values (assuming similar differences) and compare the line lengths—the shorter the line, the steeper the gradient. If still unsure, find the region where color changes are most concentrated, connect points with the same difference (larger differences preferred), and compare line lengths.",,,,,,,,,,,
17,2025/3/8 17:13:06,P16,19,Computer Science,"1. The experiment requires identifying five distinct colors; 1 and 5 are the extreme colors, easy to find; 2. Since color picker tools aren't allowed, compare target colors with surroundings manually.","Gradient judgment is about judging the slope: select two fixed colors, find the corresponding points, and measure the distance.",,,,,,,,,,,
18,2025/3/8 17:13:07,P17,19,Computer Science,"1. Find intervals corresponding to 1000 and 0; 2. Find relatively uniform transition regions; if available, pick three points close to expectation; otherwise, find regions with large contrast range.","Observe the color scale to determine values corresponding to colors (typically 0, 0.25, 0.5, 0.75, 1); check if the square contains colors close to 0 and 1; if found, continue; if not, determine the approximate range. Compare the maximum and minimum values in the images—if one extreme is close, base the judgment on the other.",,,,,,,,,,,
19,2025/3/8 17:16:52,P18,20,Biology Science,"1. Roughly scan the image, pick the brightest spot for 1000; 2. Find two steps darker color for 750; 3. Match corresponding colors using legend; 4. Find darkest area for 250; 5. Pick the darkest spot.","First look at the upper and lower limits of colors within the two squares; if the upper and lower limits are similar, compare the colors at the opposite ends of the scale; if not, use the color scale as a reference.",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
